YEAR,PSTATABB,FIPSST,STGENACL,STGENAOL,STGENAGS,STGENANC,STGENAHY,STGENABM,STGENAWI,STGENASO,STGENAGT,NRETotal,RETotal
2005,WV,54,"91,406,122.30","223,551.60","273,069.60",0,"1,447,565.60",713,"153,892.00",0,0,91902743.5,1602170.6
2005,WY,56,"43,345,684.50","42,295.20","324,981.20",0,"808,374.90",0,"717,263.80",0,0,43712960.9,1525638.7
2007,AK,2,"641,409.40","1,009,990.20","3,867,539.50",0,"1,291,223.00","10,217.60","1,012.00",0,0,5518939.1,1302452.6
2007,AL,1,"77,993,760.40","156,921.90","23,231,776.30","34,325,127.00","4,136,114.00","3,800,620.10",0,0,0,101382458.6,42261861.1
2007,AR,5,"25,744,179.90","94,152.80","8,364,250.80","15,486,102.00","3,266,357.00","1,623,743.90",0,0,0,34202583.5,20376202.9
2007,AZ,4,"41,275,362.00","49,275.60","38,469,220.80","26,782,391.00","6,723,082.00","32,989.90",0,"8,649.00",0,79793858.4,33547111.9
2007,CA,6,"2,298,305.60","2,333,919.80","116,012,828.90","35,792,490.00","27,637,529.90","5,699,014.90","5,584,933.40","556,969.00","12,990,711.00",120645054.3,88261648.2
2007,CO,8,"35,935,739.20","28,449.50","15,015,812.50",0,"1,561,471.60","31,105.00","1,291,516.10","2,208.00",0,50980001.2,2886300.7
2007,CT,9,"3,738,722.50","1,310,846.00","9,931,754.90","16,386,142.00","341,568.80","688,085.80",0,0,0,14981323.4,17415796.6
2007,DC,11,0,"75,251.00",0,0,0,0,0,0,0,75251,0
2007,DE,10,"5,621,822.50","241,136.00","1,901,983.60",0,0,"48,116.00",0,0,0,7764942.1,48116
2007,FL,12,"67,908,114.60","20,202,867.40","106,035,064.30","29,289,289.00","154,446.00","4,209,257.50",0,0,0,194146046.3,33652992.5
2007,GA,13,"90,297,529.20","782,290.80","16,075,515.00","32,544,998.00","1,914,539.00","3,307,608.80",0,0,0,107155335,37767145.8
2007,HI,15,"1,578,931.30","8,914,207.30",0,0,"92,343.40","275,291.50","238,184.00",0,"229,886.00",10493138.6,835704.9
2007,IA,19,"37,985,566.40","311,914.70","3,090,878.60","4,518,875.00","962,346.00","150,218.50","2,757,814.00",0,0,41388359.7,8389253.5
2007,ID,16,"83,564.20",134,"1,657,254.90",0,"9,021,690.00","480,581.50","172,267.00",0,0,1740953.1,9674538.5
2007,IL,17,"95,274,268.90","118,935.10","7,541,527.00","95,728,845.00","153,727.40","620,325.20","664,427.00",0,0,102934731,97167324.6
2007,IN,18,"122,802,897.20","169,976.80","4,064,399.80",0,"449,936.00","230,113.60",0,0,0,127037273.8,680049.6
2007,KS,20,"36,250,263.10","207,148.50","2,132,609.10","10,369,136.00","10,501.00",0,"1,152,538.00",0,0,38590020.7,11532175
2007,KY,21,"90,483,059.20","2,791,298.50","1,801,082.90",0,"1,668,587.00","465,623.00",0,0,0,95075440.6,2134210
2007,LA,22,"23,051,182.60","2,250,633.10","43,915,015.00","17,077,572.00","826,642.00","2,979,883.00",0,0,0,69216830.7,20884097
2007,MA,25,"12,024,346.90","3,049,165.50","24,900,015.70","5,119,789.00","-33,064.80","1,184,126.50",0,0,0,39973528.1,6270850.7
2007,MD,24,"29,699,186.10","984,830.80","2,240,926.80","14,353,192.00","1,652,216.50","581,969.40",0,0,0,32924943.7,16587377.9
2007,ME,23,"375,577.00","818,377.20","6,674,593.80",0,"3,738,167.60","4,095,647.10","99,071.00",0,0,7868548,7932885.7
2007,MI,26,"70,810,598.70","698,525.00","11,724,913.00","31,516,953.00","140,748.30","2,401,027.60","2,723.00",0,0,83234036.7,34061451.9
2007,MN,27,"32,190,372.60","404,531.70","3,901,389.90","13,103,000.00","653,821.80","1,273,592.90","2,637,674.00",0,0,36496294.2,17668088.7
2007,MO,29,"75,089,978.20","60,400.90","4,957,790.50","9,371,955.00","1,587,799.00","29,309.40",0,0,0,80108169.6,10989063.4
2007,MS,28,"17,407,324.60","399,370.40","21,337,900.00","9,358,784.00",0,"1,314,975.60",0,0,0,39144595,10673759.6
2007,MT,30,"18,356,774.50","478,677.30","105,973.50",0,"9,364,336.00","110,944.70","495,776.00",0,0,18941425.3,9971056.7
2007,NC,37,"79,983,038.40","495,365.10","4,472,707.20","40,044,705.00","3,121,154.50","1,671,150.70",0,0,0,84951110.7,44837010.2
2007,ND,38,"29,163,553.20","50,817.90","16,574.20",0,"1,305,393.00","13,507.00","620,771.90",0,0,29230945.3,1939671.9
2007,NE,31,"19,629,911.20","35,707.40","1,108,816.10","11,041,532.00","821,880.00","61,259.30","216,765.00",0,0,20774434.7,12141436.3
2007,NH,33,"3,927,415.30","383,684.40","5,732,943.10","10,763,884.00","1,265,228.90","1,118,880.50",0,0,0,10044042.8,13147993.4
2007,NJ,34,"10,210,670.10","452,771.10","18,752,331.70","32,010,376.00","-248,025.00","786,494.00","20,412.00",0,0,29415772.9,32569257
2007,NM,35,"27,603,647.40","44,470.50","6,649,280.50",0,"267,978.00","15,993.90","1,393,239.00",0,0,34297398.4,1677210.9
2007,NV,32,"7,090,910.60","11,450.20","22,407,399.80",0,"2,003,191.00",0,0,"43,967.00","1,252,691.00",29509760.6,3299849
2007,NY,36,"21,405,542.40","8,215,561.10","44,286,804.30","42,452,854.00","24,484,175.40","1,878,723.60","833,476.00",0,0,73907907.8,69649229
2007,OH,39,"132,915,692.80","1,144,543.80","3,969,300.50","15,764,049.00","410,436.00","138,963.70","14,748.00",0,0,138029537.1,16328196.7
2007,OK,40,"34,437,937.50","160,487.60","35,138,637.10",0,"2,900,018.00","279,634.70","1,849,144.00",0,0,69737062.2,5028796.7
2007,OR,41,"4,351,623.90","14,286.60","14,857,667.70",0,"33,587,439.50","978,412.00","1,246,994.30",0,0,19223578.2,35812845.8
2007,PA,42,"122,631,739.60","1,340,668.30","19,197,094.20","77,376,316.00","1,513,127.10","2,008,936.50","470,017.80",0,0,143169502.1,81368397.4
2007,RI,44,0,"33,951.00","6,856,772.00",0,"4,364.00","154,757.00",0,0,0,6890723,159121
2007,SC,45,"41,582,669.50","217,287.30","5,964,573.10","53,199,914.00","345,297.60","1,993,868.00",0,0,0,47764529.9,55539079.6
2007,SD,46,"2,655,333.60","62,902.00","351,041.60",0,"2,442,847.00",0,"150,018.00",0,0,3069277.2,2592865
2007,TN,47,"60,237,330.10","232,097.90","721,838.10","28,700,371.00","4,235,237.00","920,589.40","49,937.00",0,0,61191266.1,33906134.4
2007,TX,48,"147,278,889.30","1,308,903.60","199,541,813.20","40,955,030.00","1,644,436.70","1,281,229.30","9,006,383.00",0,0,348129606.1,52887079
2007,UT,49,"37,170,794.20","39,146.80","7,424,217.70",0,"538,782.00","30,679.60",0,0,"163,925.00",44634158.7,733386.6
2007,VA,51,"35,420,746.30","2,096,948.80","10,903,839.90","27,268,475.00","-372,019.30","2,530,494.10",0,0,0,48421535,29426949.8
2007,VT,50,0,"7,811.50","1,888.70","4,703,728.00","646,604.50","453,037.80","10,511.00",0,0,9700.2,5813881.3
2007,WA,53,"8,556,816.40","36,660.10","7,287,790.00","8,108,560.00","78,873,707.10","1,288,054.20","2,437,823.00",0,0,15881266.5,90708144.3
2007,WI,55,"40,028,249.60","1,013,413.70","6,488,750.30","12,910,319.00","1,516,082.90","1,193,465.90","109,283.00",0,0,47530413.6,15729150.8
2007,WV,54,"91,866,264.80","199,918.70","388,794.20",0,"1,254,397.00",0,"167,588.00",0,0,92454977.7,1421985
2007,WY,56,"43,126,809.20","47,221.90","594,025.80",0,"729,424.00",0,"754,881.00",0,0,43768056.9,1484305
2009,AK,2,"630,591.60","1,156,881.80","3,577,403.20",0,"1,323,744.40","6,511.40","7,027.00",0,0,5364876.6,1337282.8
2009,AL,1,"55,608,723.80","219,273.70","31,715,413.50","39,716,204.00","12,535,373.00","3,416,109.10",0,0,0,87543411,55667686.1
2009,AR,5,"25,075,250.30","88,469.60","11,221,413.20","15,169,966.00","4,293,071.00","1,585,550.10",0,0,0,36385133.1,21048587.1
2009,AZ,4,"39,706,817.30","62,699.10","34,739,169.60","30,661,851.00","6,596,825.00","160,198.20","29,545.00","14,145.00",0,74508686,37462564.2
2009,CA,6,"2,049,946.90","2,897,474.30","113,466,592.30","31,763,804.00","28,040,885.30","6,230,276.40","5,839,813.20","638,997.00","12,852,783.00",118414013.5,85366558.9
2009,CO,8,"31,636,022.80","13,453.10","13,942,862.50",0,"1,777,066.00","56,552.00","3,003,521.00","25,585.00",0,45592338.4,4862724
2009,CT,9,"2,453,497.50","298,877.70","9,809,351.10","16,657,382.00","514,930.60","715,869.00",0,0,0,12561726.3,17888181.6
2009,DC,11,0,"35,499.00",0,0,0,0,0,0,0,35499,0
2009,DE,10,"2,848,170.90","258,365.70","1,376,400.50",0,0,"125,611.40",0,0,0,4482937.1,125611.4
2009,FL,12,"54,003,071.80","9,227,803.40","118,495,118.00","29,117,877.00","208,202.00","4,239,313.20",0,"9,470.00",0,181725993.2,33574862.2
2009,GA,13,"69,478,196.10","649,674.40","20,505,749.30","31,682,579.00","3,531,670.90","2,825,087.70",0,0,0,90633619.8,38039337.6
2009,HI,15,"1,500,165.90","8,311,451.70",0,0,"112,648.60","273,814.60","251,427.00","1,390.00","167,591.00",9811617.6,806871.2
2009,IA,19,"37,351,435.70","85,250.70","1,184,217.20","4,678,931.00","971,165.00","155,668.10","7,411,090.00",0,0,38620903.6,13216854.1
2009,ID,16,"82,564.80",41,"1,643,594.90",0,"10,434,263.90","477,948.30","313,418.00",0,"75,950.00",1726200.7,11301580.2
2009,IL,17,"89,966,860.10","188,685.70","4,494,719.60","95,473,920.00","136,380.00","710,204.20","2,819,532.20",16,0,94650265.4,99140052.4
2009,IN,18,"108,359,054.60","500,258.50","3,829,658.20",0,"503,470.00","301,418.10","1,403,191.60",0,0,112688971.3,2208079.7
2009,KS,20,"32,243,043.50","120,760.90","2,668,890.70","8,768,548.00","12,798.00",0,"2,863,266.60",0,0,35032695.1,11644612.6
2009,KY,21,"84,037,595.70","2,016,282.40","882,744.00",0,"3,317,641.00","363,534.30",0,0,0,86936622.1,3681175.3
2009,LA,22,"23,067,136.50","1,857,708.70","44,003,264.20","16,782,077.00","1,236,351.00","2,363,959.30",0,0,0,68928109.4,20382387.3
2009,MA,25,"9,028,109.90","897,077.90","21,057,318.60","5,396,021.00","667,440.40","1,166,191.10","5,955.90",42.6,0,30982506.4,7235651
2009,MD,24,"24,162,345.50","329,900.20","1,767,844.90","14,550,119.00","1,888,769.00","531,591.50",0,0,0,26260090.6,16970479.5
2009,ME,23,"72,146.10","433,433.20","7,355,394.00",0,"4,211,678.60","3,626,841.00","298,623.00",0,0,7860973.3,8137142.6
2009,MI,26,"66,847,683.30","399,314.00","8,463,876.80","21,851,009.00","515,062.00","2,310,856.80","300,172.10",0,0,75710874.1,24977099.9
2009,MN,27,"29,328,421.40","67,622.10","2,847,665.00","12,393,425.00","809,087.60","1,691,027.10","4,537,571.70",0,0,32243708.5,19431111.4
2009,MO,29,"71,611,239.70","87,519.40","3,422,763.30","10,247,116.00","2,383,406.00","75,427.60","499,377.00",0,0,75121522.4,13205326.6
2009,MS,28,"12,957,662.10","35,321.70","23,273,313.40","10,998,515.00",0,"1,424,279.00",0,0,0,36266297.2,12422794
